time,seconds_elapsed,altitude,speedAccuracy,bearingAccuracy,latitude,altitudeAboveMeanSeaLevel,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed
1691261792635768000,-0.75523193359375,2607.9924722427813,0.31220331042452915,44.74006381816489,4.977696673667609,2586.6716562027423,231.6439269521485,7.744616520482827,9.667854011512405,-73.81663060826892,0
1691261793585543400,0.19454345703125,2607.9924722427813,0.29488360079933784,44.74006381816489,4.977696673667609,2586.6716562027423,231.6439269521485,6.68085569078989,8.646724824892743,-73.81663060826892,0
1691261794535524400,1.1445244140625,2607.9924722427813,0.3048321931836246,44.74006381816489,4.977696673667609,2586.6716562027423,231.6439269521485,6.6553291932938725,8.950708878513318,-73.81663060826892,0
1691261795485405200,2.0944052734375,2607.9924722427813,0.27269332861699813,44.74006381816489,4.977696673667609,2586.6716562027423,231.6439269521485,6.834348170046196,9.803491589021098,-73.81663060826892,0
1691261796435776000,3.04477587890625,2614.6357086540725,0.2811360916142108,180,4.977657665405372,2593.3148926140334,284.01630309608225,5.862378834376656,8.6297675045646,-73.81666188375027,0.05523483827710152
1691261797385757400,3.99475732421875,2614.5972356460106,0.28261263424679733,180,4.977654390315785,2593.2764196059716,70.26423566201072,4.072674901384356,6.103275825534095,-73.81666017455362,0.13132882118225098
1691261798334801000,4.94380078125,2614.5069571002255,0.821711006698633,26.26248804594974,4.97765253898793,2593.1861410601864,347.56134239765765,5.274145066541274,7.862649008175362,-73.81665735015174,0.13132882118225098
1691261799285096700,5.8940966796875,2614.506957099773,0.9187008344189641,-1,4.9776525389879245,2593.186141059734,-1,5.274145066541273,7.862649008175361,-73.81665735015174,0.13132882118225098
1691261800235077400,6.844077392578125,2614.430251124315,0.6223405257612156,-1,4.977646888925106,2593.109435084276,-1,5.980473406904728,9.38693879754516,-73.81665795559587,0.018704885616898537
1691261801185312300,7.794312255859375,2614.430251124315,0.3312441885573975,33.337479506608105,4.977646888925106,2593.109435084276,184.29553306773337,6.7068600802666065,10.748183221368901,-73.81665795559587,0
1691261802135293000,8.74429296875,2614.430251124315,0.31949332657729984,-1,4.977646888925106,2593.109435084276,-1,6.609845934687984,10.78252119887795,-73.81665795559587,0
1691261803085561000,9.69456103515625,2614.430251124315,0.307972206397111,-1,4.977646888925106,2593.109435084276,-1,6.467371869536753,10.566904381754586,-73.81665795559587,0
1691261804035582200,10.644582275390626,2614.430251124315,0.307972206397111,-1,4.977646888925106,2593.109435084276,-1,5.9238374582968785,9.882738956090707,-73.81665795559587,0
1691261804985563600,11.594563720703125,2614.430251124315,0.307972206397111,-1,4.977646888925106,2593.109435084276,-1,4.896305424726196,8.358648927049652,-73.81665795559587,0
1691261805935532300,12.5445322265625,2614.430251124315,0.307972206397111,-1,4.977646888925106,2593.109435084276,-1,6.104623067949321,10.50846852597482,-73.81665795559587,0
1691261806885513500,13.494513427734375,2614.430251124315,0.307972206397111,-1,4.977646888925106,2593.109435084276,-1,7.634152068095847,13.088780851243325,-73.81665795559587,0
1691261807835494400,14.444494384765624,2614.430251124315,0.3079722063971006,24.33104200519447,4.977646888925106,2593.109435084276,21.444565530204102,7.074161826866801,12.279892564937736,-73.81665795559587,0
1691261808810474500,15.419474609375,2614.430251124315,0.307972206397111,-1,4.977646888925106,2593.109435084276,-1,5.891542583650491,10.205874826908484,-73.81665795559587,0
1691261809810454500,16.41945458984375,2614.430251124315,0.307972206397111,-1,4.977646888925106,2593.109435084276,-1,7.581264667849869,13.18907710163204,-73.81665795559587,0
1691261810810434300,17.419434326171874,2614.430251124315,0.307972206397111,-1,4.977646888925106,2593.109435084276,-1,6.0628527951313185,10.655924196118589,-73.81665795559587,0
1691261811810413800,18.419413818359374,2614.430251124315,0.307972206397111,-1,4.977646888925106,2593.109435084276,-1,6.313391568404822,11.068002861410449,-73.81665795559587,0
1691261812810394400,19.419394287109377,2614.430251124315,0.6225378222354998,-1,4.977646888925106,2593.109435084276,-1,7.625216434754393,13.460043091871473,-73.81665795559587,0
1691261813810374700,20.419374755859376,2614.430251124315,0.48136820077612985,-1,4.977646888925106,2593.109435084276,-1,6.730467704078931,11.90147841830629,-73.81665795559587,0
1691261814810354000,21.41935400390625,2614.430251124315,0.307972206397111,-1,4.977646888925106,2593.109435084276,-1,8.379548640465972,14.872765154732086,-73.81665795559587,0
1691261815810333700,22.419333740234375,2614.430251124315,0.307972206397111,-1,4.977646888925106,2593.109435084276,-1,7.050910571560104,12.533788586278332,-73.81665795559587,0
1691261816810313500,23.4193134765625,2614.430251124315,0.307972206397111,-1,4.977646888925106,2593.109435084276,-1,4.429538035563859,6.141033397550366,-73.81665795559587,0
1691261817810293500,24.41929345703125,2614.430251124315,0.307972206397111,-1,4.977646888925106,2593.109435084276,-1,4.432693285711231,6.118553516410399,-73.81665795559587,0
1691261818810273800,25.419273681640625,2614.430251124315,0.307972206397111,-1,4.977646888925106,2593.109435084276,-1,4.446683782613517,5.953131457221317,-73.81665795559587,0
1691261819810253000,26.419253173828125,2614.430251124315,0.307972206397111,-1,4.977646888925106,2593.109435084276,-1,4.740128668095551,3.3698245121500827,-73.81665795559587,0
1691261820810232800,27.41923291015625,2614.430251124315,0.307972206397111,-1,4.977646888925106,2593.109435084276,-1,4.73984842041793,3.3702186849298803,-73.81665795559587,0
1691261821810213400,28.41921337890625,2614.430251124315,0.307972206397111,-1,4.977646888925106,2593.109435084276,-1,4.74020127439425,3.3697223789238135,-73.81665795559587,0
1691261822810193000,29.41919287109375,2614.430251124315,0.307972206397111,-1,4.977646888925106,2593.109435084276,-1,4.740379716275749,3.369471349976178,-73.81665795559587,0
1691261823810173200,30.419173095703126,2614.430251124315,0.307972206397111,-1,4.977646888925106,2593.109435084276,-1,4.7407317818535155,3.3689759876426595,-73.81665795559587,0
1691261824810152700,31.419152587890625,2614.430251124315,0.307972206397111,-1,4.977646888925106,2593.109435084276,-1,4.740808402292361,3.368868166839271,-73.81665795559587,0
1691261825810132500,32.41913256835937,2614.430251124315,0.307972206397111,-1,4.977646888925106,2593.109435084276,-1,4.741045780775188,3.3685340932492616,-73.81665795559587,0
1691261826810112500,33.419112548828124,2614.430251124315,0.307972206397111,-1,4.977646888925106,2593.109435084276,-1,4.7413418514011045,3.3681173496392893,-73.81665795559587,0
1691261827810092000,34.419092041015624,2614.430251124315,0.26708514764089997,180,4.977646888925106,2593.109435084276,192.28343295232582,4.741568815397085,3.3677978267174415,-73.81665795559587,0
1691261828810072000,35.419072021484375,2614.430251124315,0.307972206397111,-1,4.977646888925106,2593.109435084276,-1,4.7413911447062045,3.3680479577479936,-73.81665795559587,0
1691261829810052400,36.41905224609375,2614.430251124315,0.307972206397111,-1,4.977646888925106,2593.109435084276,-1,4.741675320266647,3.3676478720262644,-73.81665795559587,0
1691261830810032400,37.41903247070312,2614.430251124315,0.307972206397111,-1,4.977646888925106,2593.109435084276,-1,4.74174560008066,3.367548915295001,-73.81665795559587,0
